objid,ra,dec,u-peaks,g-peaks,r-peaks,i-peaks,u-peak-numbers,u-peak-distance,g-peak-numbers,g-peak-distance,r-peak-numbers,r-peak-distance,i-peak-numbers,i-peak-distance
1237663783668875445,19.0479627079742,-0.316487176733525,"[(67, 46)(50, 49)]","[(50, 50)(67, 46)]","[(50, 50)(66, 46)]","[(50, 50)(66, 46)]","[67, 46, 50, 49]",17.26267650163207,"[50, 50, 67, 46]",17.46424919657298,"[50, 50, 66, 46]",16.492422502470642,"[50, 50, 66, 46]",16.492422502470642
1237663783658520774,355.429025368243,-0.28100285074384,"[(50, 50)(56, 44)]","[(50, 50)(53, 43)]","[(50, 50)(53, 43)]","[(50, 50)(55, 45)]","[50, 50, 56, 44]",8.48528137423857,"[50, 50, 53, 43]",7.615773105863909,"[50, 50, 53, 43]",7.615773105863909,"[50, 50, 55, 45]",7.0710678118654755
1237657190908362909,7.22855155236186,-0.0730490638100851,"[(50, 49)(41, 46)]","[(50, 50)(70, 58)]","[(50, 50)(69, 58)]","[(50, 50)(70, 57)]","[50, 49, 41, 46]",9.486832980505138,"[50, 50, 70, 58]",21.540659228538015,"[50, 50, 69, 58]",20.615528128088304,"[50, 50, 70, 57]",21.18962010041709
1237651735229694139,201.895620438174,1.37098719666357,"[(50, 50)(60, 41)]","[(50, 49)(59, 40)]","[(50, 50)(60, 41)]","[(50, 50)(59, 41)]","[50, 50, 60, 41]",13.45362404707371,"[50, 49, 59, 40]",12.727922061357855,"[50, 50, 60, 41]",13.45362404707371,"[50, 50, 59, 41]",12.727922061357855
1237649962989912166,45.1155316714577,-7.30053842322536,"[(18, 38)(20, 28)]","[(17, 38)(21, 28)]","[(18, 36)(21, 27)]","[(18, 36)(21, 27)]","[18, 38, 20, 28]",10.198039027185569,"[17, 38, 21, 28]",10.770329614269007,"[18, 36, 21, 27]",9.486832980505138,"[18, 36, 21, 27]",9.486832980505138
1237663783142228130,42.3972878437799,-0.72374929870877,"[(51, 42)(59, 54)]","[(50, 50)(50, 41)]","[(50, 50)(51, 41)]","[(50, 50)(41, 34)]","[51, 42, 59, 54]",14.422205101855956,"[50, 50, 50, 41]",9.0,"[50, 50, 51, 41]",9.055385138137417,"[50, 50, 41, 34]",18.35755975068582
1237651752407924792,198.840185142956,1.31160378787387,"[(51, 68)(59, 78)]","[(51, 69)(55, 75)]","[(50, 50)(50, 68)]","[(50, 50)(51, 68)]","[51, 68, 59, 78]",12.806248474865697,"[51, 69, 55, 75]",7.211102550927978,"[50, 50, 50, 68]",18.0,"[50, 50, 51, 68]",18.027756377319946
1237657628984213509,156.194128003913,48.4397967805606,"[(50, 50)(50, 60)]","[(50, 50)(72, 53)]","[(50, 50)(72, 53)]","[(50, 50)(72, 53)]","[50, 50, 50, 60]",10.0,"[50, 50, 72, 53]",22.20360331117452,"[50, 50, 72, 53]",22.20360331117452,"[50, 50, 72, 53]",22.20360331117452
1237659161201082705,240.458144655096,40.0083268027439,"[(41, 65)(52, 48)]","[(50, 50)(35, 67)]","[(50, 50)(63, 33)]","[(50, 50)(63, 31)]","[41, 65, 52, 48]",20.248456731316587,"[50, 50, 35, 67]",22.67156809750927,"[50, 50, 63, 33]",21.400934559032695,"[50, 50, 63, 31]",23.021728866442675
1237662303517212925,238.736038465517,39.011481952342,"[(50, 50)(56, 45)]","[(50, 50)(76, 39)]","[(49, 50)(76, 39)]","[(50, 49)(76, 39)]","[50, 50, 56, 45]",7.810249675906654,"[50, 50, 76, 39]",28.231188426986208,"[49, 50, 76, 39]",29.154759474226502,"[50, 49, 76, 39]",27.85677655436824
1237667447275257905,206.313842741067,23.316538929985,"[(50, 50)(33, 48)]","[(49, 50)(33, 48)]","[(50, 50)(33, 48)]","[(50, 50)(34, 49)]","[50, 50, 33, 48]",17.11724276862369,"[49, 50, 33, 48]",16.1245154965971,"[50, 50, 33, 48]",17.11724276862369,"[50, 50, 34, 49]",16.0312195418814
1237667783349502331,132.155658082675,14.4867669797289,"[(51, 51)(58, 45)]","[(50, 51)(57, 45)]","[(51, 50)(68, 39)]","[(67, 40)(50, 50)]","[51, 51, 58, 45]",9.219544457292887,"[50, 51, 57, 45]",9.219544457292887,"[51, 50, 68, 39]",20.248456731316587,"[67, 40, 50, 50]",19.72308292331602
1237667536925098231,130.691952733251,14.4772098147164,"[(52, 55)(50, 50)]","[(51, 55)(50, 50)]","[(52, 55)(50, 50)]","[(51, 55)(50, 50)]","[52, 55, 50, 50]",5.385164807134504,"[51, 55, 50, 50]",5.0990195135927845,"[52, 55, 50, 50]",5.385164807134504,"[51, 55, 50, 50]",5.0990195135927845
1237667253998256248,140.85812103709,22.316667139047,"[(49, 56)(50, 50)]","[(48, 56)(50, 50)]","[(48, 57)(50, 50)]","[(48, 55)(50, 50)]","[49, 56, 50, 50]",6.082762530298219,"[48, 56, 50, 50]",6.324555320336759,"[48, 57, 50, 50]",7.280109889280518,"[48, 55, 50, 50]",5.385164807134504
1237655369827352586,196.58353908373,62.0034583946314,"[(28, 17)(29, 25)]","[(1, 77)(1, 69)]","[(45, 83)(33, 98)]","[(31, 13)(28, 8)]","[28, 17, 29, 25]",8.06225774829855,"[1, 77, 1, 69]",8.0,"[45, 83, 33, 98]",19.209372712298546,"[31, 13, 28, 8]",5.830951894845301
1237655108907958413,155.30860832497,56.999963979783,"[(37, 70)(50, 51)]","[(18, 82)(37, 69)]","[(19, 82)(37, 69)]","[(18, 82)(37, 67)]","[37, 70, 50, 51]",23.021728866442675,"[18, 82, 37, 69]",23.021728866442675,"[19, 82, 37, 69]",22.20360331117452,"[18, 82, 37, 67]",24.20743687382041
1237657628988932181,172.317205453667,51.5232185379431,"[(50, 51)(59, 74)]","[(50, 51)(43, 31)]","[(50, 50)(44, 30)]","[(50, 50)(44, 31)]","[50, 51, 59, 74]",24.698178070456937,"[50, 51, 43, 31]",21.18962010041709,"[50, 50, 44, 30]",20.8806130178211,"[50, 50, 44, 31]",19.924858845171276
1237664667366522991,169.417719996487,38.0525799620437,"[(51, 49)(52, 43)]","[(50, 50)(64, 2)]","[(50, 50)(63, 2)]","[(50, 49)(64, 1)]","[51, 49, 52, 43]",6.082762530298219,"[50, 50, 64, 2]",50.0,"[50, 50, 63, 2]",49.72926703662542,"[50, 49, 64, 1]",50.0
