epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,1160.7,1.24118,1.0039,1.29441,0.483,0.84706,0.60264,0.37755,1.31553,1.21947,1.54621,0.00144065,0.00144065,0.00144065
115,1170.72,1.22797,0.96234,1.26717,0.47851,0.86363,0.67813,0.42268,1.29865,1.28354,1.48806,0.0014357,0.0014357,0.0014357
116,1180.73,1.236,1.03931,1.27298,0.58508,0.8,0.6432,0.38327,1.45846,1.1179,1.66413,0.00143075,0.00143075,0.00143075
117,1190.82,1.20841,1.01835,1.27328,0.54932,0.85882,0.70538,0.43669,1.3965,1.19184,1.54448,0.0014258,0.0014258,0.0014258
118,1200.79,1.2125,1.04751,1.28706,0.52313,0.69412,0.66758,0.42237,1.33773,1.23419,1.55879,0.00142085,0.00142085,0.00142085
119,1210.79,1.21266,1.0242,1.26647,0.52187,0.87059,0.66221,0.40783,1.30653,1.31591,1.54479,0.0014159,0.0014159,0.0014159
120,1220.8,1.21373,0.99623,1.28306,0.52984,0.822,0.66688,0.42966,1.37251,1.22301,1.59312,0.00141095,0.00141095,0.00141095
121,1230.87,1.25942,1.04702,1.32188,0.52049,0.76471,0.60424,0.36972,1.38159,1.20336,1.63105,0.001406,0.001406,0.001406
122,1240.82,1.19297,0.9821,1.26257,0.51375,0.84524,0.63963,0.39665,1.37722,1.29666,1.62036,0.00140105,0.00140105,0.00140105
123,1250.81,1.18966,1.01274,1.25038,0.50526,0.84706,0.65926,0.41111,1.37642,1.26765,1.55843,0.0013961,0.0013961,0.0013961
124,1260.89,1.19324,1.01501,1.25969,0.542,0.84927,0.7089,0.45016,1.35514,1.18703,1.55799,0.00139115,0.00139115,0.00139115
125,1270.87,1.20455,1.02636,1.27271,0.52869,0.78824,0.6645,0.43315,1.3008,1.30883,1.51555,0.0013862,0.0013862,0.0013862
126,1280.81,1.22348,0.98993,1.28963,0.5334,0.8,0.64692,0.40042,1.35613,1.20801,1.55482,0.00138125,0.00138125,0.00138125
127,1290.76,1.18869,0.95485,1.23108,0.54866,0.76471,0.65016,0.37967,1.42443,1.53488,1.58026,0.0013763,0.0013763,0.0013763
128,1300.77,1.22911,0.98681,1.26083,0.51509,0.72941,0.55667,0.35052,1.43777,1.39374,1.61408,0.00137135,0.00137135,0.00137135
129,1310.7,1.18518,0.97037,1.25538,0.51349,0.71765,0.64182,0.40142,1.3689,1.17485,1.58023,0.0013664,0.0013664,0.0013664
130,1320.58,1.18984,0.96152,1.25595,0.5666,0.79978,0.7034,0.42191,1.41665,1.14659,1.56245,0.00136145,0.00136145,0.00136145
131,1330.58,1.18834,0.97502,1.27749,0.50834,0.91231,0.66138,0.41637,1.26637,1.22991,1.50006,0.0013565,0.0013565,0.0013565
132,1340.53,1.20457,0.98647,1.27577,0.56615,0.72941,0.69035,0.43366,1.26255,1.23783,1.52581,0.00135155,0.00135155,0.00135155
133,1350.49,1.1772,0.95398,1.24276,0.54829,0.85683,0.66697,0.39805,1.32904,1.29392,1.54238,0.0013466,0.0013466,0.0013466
134,1360.39,1.19859,0.97528,1.26414,0.56542,0.83529,0.65736,0.39511,1.40729,1.33481,1.59037,0.00134165,0.00134165,0.00134165
135,1370.43,1.14668,0.96363,1.23854,0.54477,0.89412,0.68596,0.40106,1.36477,1.10032,1.55077,0.0013367,0.0013367,0.0013367
136,1380.38,1.16181,0.97803,1.23502,0.54203,0.78824,0.66844,0.41456,1.28824,1.22194,1.50149,0.00133175,0.00133175,0.00133175
137,1390.31,1.18996,1.004,1.26207,0.50761,0.78824,0.66944,0.41361,1.34421,1.16141,1.56122,0.0013268,0.0013268,0.0013268
138,1400.21,1.18504,0.98803,1.26944,0.56046,0.91765,0.67357,0.402,1.34524,1.13097,1.54901,0.00132185,0.00132185,0.00132185
139,1410.24,1.20301,0.97597,1.25836,0.60717,0.74555,0.70385,0.44757,1.28717,1.09061,1.46738,0.0013169,0.0013169,0.0013169
140,1420.17,1.19402,1.00203,1.24929,0.52279,0.90588,0.66255,0.39587,1.47801,1.27373,1.62031,0.00131195,0.00131195,0.00131195
141,1430.1,1.17589,0.95881,1.24806,0.55783,0.83529,0.66906,0.41074,1.33379,1.13685,1.5561,0.001307,0.001307,0.001307
142,1440.08,1.16642,0.94562,1.2309,0.50892,0.9266,0.68065,0.42755,1.26618,1.09174,1.47008,0.00130205,0.00130205,0.00130205
143,1449.99,1.15401,0.93781,1.22409,0.54713,0.88123,0.68263,0.42133,1.38972,1.21385,1.58157,0.0012971,0.0012971,0.0012971
144,1459.9,1.17581,0.98969,1.25143,0.49695,0.84706,0.6097,0.39006,1.28049,1.18578,1.49596,0.00129215,0.00129215,0.00129215
145,1469.81,1.19589,0.93927,1.24469,0.54271,0.8,0.66053,0.37398,1.39388,1.20764,1.5846,0.0012872,0.0012872,0.0012872
146,1479.79,1.17526,0.91116,1.22938,0.56343,0.75294,0.68624,0.42673,1.30254,1.39839,1.52582,0.00128225,0.00128225,0.00128225
147,1489.69,1.14976,0.95803,1.22185,0.60217,0.76471,0.67825,0.42651,1.31503,1.10913,1.53262,0.0012773,0.0012773,0.0012773
